C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:2:	NoPackage:	All classes, interfaces, enums and annotations must belong to a named package
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:2:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:2:	AtLeastOneConstructor:	Each class should declare at least one constructor
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:5:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:9:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:11:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:13:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:24:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:26:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:27:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:29:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:41:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:43:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:44:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:46:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:58:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:58:	UseUtilityClass:	This utility class has a non-private constructor
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\2fbd8e0c-b5ea-4878-949c-db6355dd2a5e\generatedProgram1OfVersion1_0.java:60:	CommentRequired:	Public method and constructor comments are required
