C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:4:	NoPackage:	All classes, interfaces, enums and annotations must belong to a named package
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:4:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:5:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:6:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:7:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:8:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:10:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:33:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:35:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:37:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:43:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:44:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:46:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:77:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:78:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:80:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:111:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:112:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:114:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:145:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:145:	UseUtilityClass:	This utility class has a non-private constructor
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Inheritance\420cc1e9-b623-4bb0-982d-c6860be50537\generatedProgram1OfVersion1_0.java:146:	CommentRequired:	Public method and constructor comments are required
