Starting audit...
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:1: Missing package-info.java file. [JavadocPackage]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:1:8: Unused import - java.util.Arrays. [UnusedImports]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:3:1: Utility classes should not have a public or default constructor. [HideUtilityClassConstructor]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:5:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:5:29: Parameter args should be final. [FinalParameters]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:7:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:7:32: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:7:35: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:7:38: '20' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:7:42: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:7:45: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:7:48: '20' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:7:52: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:7:55: '20' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:7:59: '9' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:7:62: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:8:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:8:32: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:8:35: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:8:38: '20' is a magic number. [MagicNumber]
