Starting audit...
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:1: Missing package-info.java file. [JavadocPackage]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:1:8: Unused import - java.util.Arrays. [UnusedImports]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:3:1: Utility classes should not have a public or default constructor. [HideUtilityClassConstructor]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:5:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:5:29: Parameter args should be final. [FinalParameters]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:7:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:7:32: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:7:35: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:7:39: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:7:42: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:7:45: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:7:48: '9' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:11:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:11:32: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:11:35: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:11:38: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:11:41: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:11:44: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:11:47: '30' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:15:29: '3' is a magic number. [MagicNumber]
