C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:4:	NoPackage:	All classes, interfaces, enums and annotations must belong to a named package
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:4:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:5:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:7:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:9:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:21:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:22:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:24:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:42:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:43:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:44:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:45:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:47:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:67:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:67:	UseUtilityClass:	This utility class has a non-private constructor
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:68:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\12120285-9b41-4d53-b2db-5f16c33cbe1b\generatedProgram1OfVersion1_0.java:69:	CloseResource:	Ensure that resources like this Scanner object are closed after use
