C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:3:	NoPackage:	All classes, interfaces, enums and annotations must belong to a named package
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:3:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:3:	UseUtilityClass:	This utility class has a non-private constructor
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:5:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:5:	CyclomaticComplexity:	The method 'main(String[])' has a cyclomatic complexity of 24.
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:6:	CloseResource:	Ensure that resources like this Scanner object are closed after use
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:18:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:21:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:24:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:27:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:30:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:33:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:36:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:39:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:42:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:45:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:49:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:53:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:57:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:61:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:65:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\21e6c41c-c9c7-480e-a3c4-7d9bfb0d2765\generatedProgram1OfVersion1_0.java:69:	UseStringBufferForStringAppends:	Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings
