Starting audit...
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:1: Missing package-info.java file. [JavadocPackage]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:3:1: Utility classes should not have a public or default constructor. [HideUtilityClassConstructor]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:5:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:5:29: Parameter args should be final. [FinalParameters]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:6:28: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:6:31: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:6:34: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:10:23: '-2' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:10:30: '-3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:10:34: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:10:47: '-5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:10:51: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:14:23: '-2' is a magic number. [MagicNumber]
