Starting audit...
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:1: Missing package-info.java file. [JavadocPackage]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:1:17: Using the '.*' form of import should be avoided - java.util.*. [AvoidStarImport]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:3:1: Utility classes should not have a public or default constructor. [HideUtilityClassConstructor]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:5:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:5:41: Parameter arr should be final. [FinalParameters]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:8:27: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:9:24: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:12:23: '30' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:15:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:15:29: Parameter args should be final. [FinalParameters]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:16:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:16:32: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:16:36: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:16:40: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:16:44: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:16:47: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:16:50: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:16:53: '7' is a magic number. [MagicNumber]
