Starting audit...
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:1: Missing package-info.java file. [JavadocPackage]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:1:17: Using the '.*' form of import should be avoided - java.util.*. [AvoidStarImport]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:3:1: Utility classes should not have a public or default constructor. [HideUtilityClassConstructor]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:5:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:5:42: Parameter nums should be final. [FinalParameters]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:5:54: Parameter k should be final. [FinalParameters]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:10: Line is longer than 80 characters (found 85). [LineLength]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:31: Line is longer than 80 characters (found 87). [LineLength]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:55:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:55:29: Parameter args should be final. [FinalParameters]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:56:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:56:32: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:56:35: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:56:38: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:56:41: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:56:44: '8' is a magic number. [MagicNumber]
