C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:2:	NoPackage:	All classes, interfaces, enums and annotations must belong to a named package
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:2:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:3:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:4:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:6:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:19:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:21:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:25:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:26:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:27:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:29:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:49:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:50:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:51:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:53:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:73:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:73:	UseUtilityClass:	This utility class has a non-private constructor
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_AbstractClasses\28ffbe2d-f012-461f-959a-10bd5fc7f9e4\generatedProgram1OfVersion1_0.java:74:	CommentRequired:	Public method and constructor comments are required
