
Enter a number: 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345 12345 12345 12345
12345 12345
