Processing files   0% [                  ] 0/1 (0:00:00) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:01) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:02) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:03) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:04) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:05) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:06) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:07) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:08) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:09) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:10) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:11) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:12) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:13) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:14) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:15) Violations:0, Errors:0
Processing files   0% [                  ] 0/1 (0:00:16) Violations:0, Errors:0
Processing files 100% [==================] 1/1 (0:00:16) Violations:5, Errors:0
Processing files 100% [==================] 1/1 (0:00:16) Violations:5, Errors:0
Processing files 100% [==================] 1/1 (0:00:16) Violations:5, Errors:0

Processing files 100% [==================] 1/1 (0:00:16) Violations:5, Errors:0
Processing files 100% [==================] 1/1 (0:00:16) Violations:5, Errors:0

