
Enter a string: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is: 25
The integer value is:
