C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:2:	NoPackage:	All classes, interfaces, enums and annotations must belong to a named package
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:2:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:2:	AtLeastOneConstructor:	Each class should declare at least one constructor
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:4:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:7:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:11:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:12:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:14:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:32:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:33:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:35:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:53:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:54:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:55:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:57:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:76:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:76:	UseUtilityClass:	This utility class has a non-private constructor
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\0f830f3d-0312-4b75-99a7-e5e1b4a10d31\generatedProgram1OfVersion1_0.java:77:	CommentRequired:	Public method and constructor comments are required
