C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:4:	NoPackage:	All classes, interfaces, enums and annotations must belong to a named package
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:4:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:5:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:7:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:11:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:13:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:22:	CommentSize:	Comment is too large: Line too long
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:24:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:25:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:26:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:28:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:46:	CommentSize:	Comment is too large: Line too long
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:48:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:49:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:51:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:68:	CommentSize:	Comment is too large: Line too long
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:70:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:71:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:72:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:73:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:75:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:97:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:97:	UseUtilityClass:	This utility class has a non-private constructor
C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_OOP\409f679d-fdfe-4dd3-8d10-63f2c46bee8d\generatedProgram1OfVersion1_0.java:98:	CommentRequired:	Public method and constructor comments are required
