C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:4:	NoPackage:	All classes, interfaces, enums and annotations must belong to a named package
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:4:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:4:	AtLeastOneConstructor:	Each class should declare at least one constructor
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:5:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:7:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:13:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:14:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:16:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:34:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:35:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:36:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:38:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:57:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:58:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:59:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:60:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:62:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:83:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:83:	UseUtilityClass:	This utility class has a non-private constructor
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\441bd2e3-e934-4447-ad24-f22882540af6\generatedProgram1OfVersion1_0.java:84:	CommentRequired:	Public method and constructor comments are required
