C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:4:	NoPackage:	All classes, interfaces, enums and annotations must belong to a named package
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:4:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:6:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:7:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:9:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:22:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:29:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:31:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:33:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:48:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:50:	CommentRequired:	Field comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:52:	CommentRequired:	Public method and constructor comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:67:	CommentRequired:	Class comments are required
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:67:	UseUtilityClass:	This utility class has a non-private constructor
C:\Users\debal\OneDrive\Desktop\PhD folder\GeminiPro\GeminiPro_W3Resources_Polymorphism\e1de5462-dc01-4572-b58c-9fca3d275ab7\generatedProgram1OfVersion1_0.java:69:	CommentRequired:	Public method and constructor comments are required
